item,theme,category,valence,arousal,beauty
47,Barbeque1,Person,4.72,3.08,3.63
48,Barbeque2,Person,5.15,3.13,4.01
49,Bark1,Object,4.04,2.07,4.04
50,Bark2,Object,4.26,2.12,4.07
51,Bark3,Object,4.63,2.09,4.38
52,Bark4,Object,4.24,2.24,4.35
53,Bark5,Object,4.2,2.06,4.39
54,Bark6,Object,4.26,2.2,4.23
55,Barrels1,Object,4.21,2.47,4.63
56,BDSM1,Person,4.33,4.55,3.46
57,BDSM2,Person,3.93,4.3,3.33
58,BDSM3,Person,3.95,4.22,3.14
59,Beach1,Scene,6.37,4.74,6.43
60,Beach2,Scene,6.32,4.14,6.5
61,Beach3,Scene,5.51,3.81,5.82
62,Beach4,Scene,5.93,3.63,5.44
63,Beach5,Scene,5.59,3.36,5.45
64,Beach6,Scene,6.06,3.89,5.27
65,Beach7,Scene,6.07,4.31,5.69
66,Beach8,Scene,5.85,3.89,5.74
67,Bear1,Animal,5.15,3.34,5.29
68,Bear2,Animal,4.42,3.78,5.43
69,Bear3,Animal,5.47,4.32,5.69
70,Bed1,Object,4.02,2.99,3.46
71,Bee1,Animal,3.65,3.62,4.54
72,Biking1,Person,5.09,3.57,4.38
73,Billiards1,Object,4.52,2.57,4.3
74,Bird1,Animal,5.91,3.01,5.99
75,Bird2,Animal,5.48,3.7,5.73
76,Bird3,Animal,6.04,3.43,5.66
77,Bird4,Animal,5.55,3.57,5.79
78,Bird5,Animal,4.47,4.45,4.65
79,Birthday1,Scene,5.78,3.46,5.1
80,Birthday2,Person,5.33,3.38,4.29
81,Birthday3,Scene,5.57,3.43,4.99
82,Bloodyknife1,Object,1.84,4.54,2.89
83,Bloodyknife2,Object,2.26,3.9,2.32
84,Boat1,Object,4.57,2.8,5.46
85,Boredface1,Person,3.65,2.38,2.26
86,Boredpose1,Person,3.56,2.92,3.25
87,Boredpose2,Person,3.19,2.74,2.66
88,Boredpose3,Person,3.09,2.71,3.03
89,Boredpose4,Person,3.13,3.02,3.06
90,Boredpose5,Person,3.8,3.04,3.8
91,Boredpose6,Person,4.56,3.39,4.75
92,Bottle1,Object,4.18,2.16,3.16
93,Boxing1,Person,3.74,3.89,3.37
94,Boxing2,Person,3.7,4.2,3.9
95,Bricks1,Object,4.16,1.81,3.79
96,Bridge1,Scene,5.89,3.55,6.14
97,Bubble1,Object,4.79,3.08,4.94
98,Bubble2,Object,5,3.04,5.17
99,Building1,Scene,5.04,3.2,5.46
100,Building2,Scene,4.8,3.17,5.85
101,Bungeejumping1,Person,4.2,4.56,4.47
102,Bungeejumping2,Person,4.76,4.65,4.18
103,Bungeejumping3,Person,5.11,4.36,4.71
104,Camping1,Person,5.6,3.25,4.11
105,Camping2,Person,4.96,3.18,3.96
106,Camping3,Person,5.02,2.98,3.83
107,Camping4,Person,5.66,3.23,3.91
108,Camping6,Person,3.88,3.14,3.57
109,Camping7,Person,5.22,2.98,4.13
110,Camping8,Person,3.56,3.73,3.64
111,Camping9,Person,3.99,3.5,3.66
112,Camping10,Scene,4.94,3.77,5.39
113,Candle1,Object,5.05,3.31,4.92
114,Car1,Object,5.23,4.33,5.12
115,Car2,Object,3.92,2.87,4.29
116,Caraccident1,Object,2.15,4.1,2.21
117,Caraccident2,Object,1.97,4.09,1.9
118,Caraccident3,Object,2.68,4.5,4.51
119,Caraccident4,Object,2.03,3.96,1.94
120,Carcrash1,Scene,1.85,4.55,2.09
121,Carcrash2,Scene,1.99,4.21,2.38
122,Carcrash3,Scene,2.03,4.66,2.42
123,Carrace1,Scene,4.39,3.21,3.72
124,Carrace2,Scene,4.37,3.59,3.38
125,Carrace3,Scene,4.4,3.69,3.93
126,Carrace4,Scene,4.15,3.48,3.69
127,Cardboard1,Object,4.02,1.98,3.34
128,Cardboard2,Object,4.01,2.07,3.15
129,Cardboard3,Object,3.75,1.86,2.17
130,Cat1,Animal,5.42,3.84,5.75
131,Cat2,Animal,5.5,3.98,5.32
132,Cat3,Animal,6,4.22,5.94
133,Cat4,Animal,5.84,3.53,5.66
134,Cat5,Animal,6.22,4.86,5.86
135,Cat6,Animal,4.72,4.03,4.86
136,Cat7,Animal,3.32,4.41,3.98
137,Cat8,Animal,4.76,3.63,5.08
138,Cat9,Animal,5.33,3.61,4.9
139,Cat10,Animal,5.45,3.43,5.18
140,Cat11,Animal,5.37,3.6,5.09
141,Cat12,Animal,5.19,3.38,5.38
142,Cat13,Animal,5.46,3.72,5.14
143,Cat14,Animal,5.71,4.01,4.98
144,Celebration1,Person,5.32,3.8,3.99
145,Celebration2,Scene,4.89,4.16,5.27
146,Cemetery1,Scene,4.11,3.49,5.43
147,Cemetery2,Scene,3.99,4.21,5.51
148,Cemetery3,Scene,2.94,3.63,4.3
149,Cemetery4,Scene,2.79,4.34,4.7
150,Cemetery5,Scene,2.51,4.7,4.42
151,Cheerleader1,Person,5.29,4.28,4.88
152,Cheerleader2,Person,5.2,4.13,4.61
153,Childlabor1,Person,4.26,3.28,4.14
154,Childlabor2,Person,2.82,3.65,3.57
155,Childlabor3,Person,4.09,3.5,4.02
156,Childlabor4,Person,4.02,3.04,4.85
157,Children1,Person,5.72,3.52,4.94
158,Chipmunk1,Animal,5.41,3.28,5.57
159,Chipmunk2,Animal,5.74,4.23,5.36
160,Chipmunk3,Animal,5.53,3.72,5.39
161,City1,Scene,4.44,3.14,4.64
162,Clean1,Object,5.05,2.37,3.99
163,Cliffdiver1,Person,4.83,4.85,5.19
164,Cliffdiver2,Person,5.11,4.09,4.49
165,Cliffdiver3,Person,5.12,4.75,5.22
166,Cockroach1,Animal,2.06,4.35,2.16
167,Cockroach2,Animal,2.26,4.11,2.18
168,Cockroach3,Animal,2.45,3.94,3.27
169,Cockroach4,Animal,2.28,3.94,2.44
170,Coffee1,Object,5.55,3.8,5.25
171,Cold1,Object,3.99,3.48,4.98
172,Cold2,Object,4.73,2.59,4.63
173,Cold3,Object,4.88,2.8,5.4
174,Cold4,Object,5.07,2.96,4.12
175,Cold5,Scene,5.49,3.2,6.19
176,Cold6,Person,4.96,4.29,5.08
177,Cold7,Person,5.29,3.39,5.98
178,Cold8,Object,5.52,3.49,4.57
179,Collaboration1,Person,5.43,3.35,4.18
180,Cottonswabs1,Object,4.1,2.19,3.4
181,Cottonswabs2,Object,4.06,1.86,3.26
182,Cottonswabs3,Object,4.13,1.81,3.17
183,Couple1,Person,5.54,3.96,4.74
184,Couple2,Person,5.63,3.77,5.43
185,Couple3,Person,4.01,3.44,5.46
186,Couple4,Person,5.97,4.53,5.54
187,Couple5,Animal,4.99,3.47,4.93
188,Couple6,Person,5.61,4.14,5.12
189,Couple7,Person,5.92,4.25,5.38
190,Couple8,Person,5.76,4.16,4.82
191,Couple9,Person,5.81,3.44,5.64
192,Crosswalk1,Scene,3.96,2.32,3.71
193,Crow1,Animal,4.71,2.8,4.96
194,Crow2,Animal,4.41,2.66,4.76
195,Cups1,Object,4.28,2.03,3.86
196,Cups2,Object,4.15,2.09,3.27
197,Cups3,Object,4.73,2.26,4.83
198,Cups4,Object,4.14,2.2,4.36
199,Dancing1,Person,5.3,3.44,5.32
200,Dancing2,Person,5.22,3.49,5.39
201,Dancing3,Person,4.88,3.85,4.28
202,Dancing4,Person,5.54,3.65,5.06
203,Dancing5,Person,5.7,3.54,4.85
204,Dancing6,Person,5.81,3.69,5.33
205,Dancing7,Person,5.87,3.38,4.98
206,Dancing8,Person,5.31,3.41,4.77
207,Dancing9,Person,5.58,3.83,5.61
208,Deadbodies1,Person,1.2,4.51,1.73
209,Deadbodies2,Person,1.25,4.48,2.35
210,Deadbodies3,Person,1.32,5.13,1.97
211,Depressedface1,Person,3.76,3.07,3.97
212,Depressedface2,Person,3.82,3.02,3.87
213,Depressedpose1,Person,2.69,3.45,3.2
214,Depressedpose2,Person,3.49,3.24,3.82
215,Depressedpose3,Person,2.66,4.01,3.38
216,Depressedpose4,Person,3.25,3.29,4.13
217,Desert1,Scene,4,3.27,5.17
218,Dessert1,Object,5.33,3.41,4.38
219,Dessert2,Object,5.74,3.25,4.69
220,Dessert3,Object,5.63,4.2,5.1
221,Dessert4,Object,5.39,3.12,4.46
222,Dessert5,Object,5.53,3.86,4.84
223,Dessert6,Object,5.59,3.85,4.69
224,Dessert7,Object,5.45,3.13,4.57
225,Dessert8,Person,5.77,3.37,4.48
226,Destruction1,Scene,3.18,4.32,4.62
227,Destruction4,Scene,1.84,3.93,2.59
228,Destruction5,Scene,2.15,3.81,2.47
229,Destruction6,Scene,2.01,4.1,2.47
230,Destruction7,Scene,2.01,3.85,2.95
231,Destruction8,Scene,2.24,4.23,2.31
232,Destruction9,Scene,3.56,2.49,3.19
233,Destruction10,Scene,2.1,3.59,2.02
234,Dirt1,Scene,1.61,4.98,3.85
235,Destruction2,Scene,2.19,3.06,2.36
236,Destruction3,Scene,1.9,3.6,1.98
