Subj,Block,Trial,ImageType,Image,Rating,RT
6,2,13,art,art_066.jpg,4,1.3318
7,1,12,art,art_066.jpg,1,0.7197
7,2,24,art,art_066.jpg,1,0.6693
8,1,86,art,art_066.jpg,3,0.9257
8,2,98,art,art_066.jpg,5,0.6883
9,1,10,art,art_066.jpg,4,0.6892
9,2,108,art,art_066.jpg,6,2.0396
10,1,2,art,art_066.jpg,3,1.3627
10,2,100,art,art_066.jpg,3,0.4921
11,1,55,art,art_066.jpg,4,1.2
11,2,92,art,art_066.jpg,2,2.0983
12,1,18,art,art_066.jpg,4,1.0469
12,2,55,art,art_066.jpg,5,0.4058
13,1,87,art,art_066.jpg,1,1.0952
13,2,26,art,art_066.jpg,1,1.4812
14,1,84,art,art_066.jpg,2,1.4505
14,2,23,art,art_066.jpg,2,0.6835
15,1,54,art,art_066.jpg,5,0.7473
15,2,108,art,art_066.jpg,5,0.4583
16,1,2,art,art_066.jpg,4,1.6184
16,2,56,art,art_066.jpg,3,0.6724
17,1,105,art,art_066.jpg,5,0.8601
17,2,92,art,art_066.jpg,5,1.6029
18,1,18,art,art_066.jpg,7,0.8351
18,2,5,art,art_066.jpg,7,0.8092
19,1,54,art,art_066.jpg,5,0.9839
19,2,57,art,art_066.jpg,5,0.6022
20,1,53,art,art_066.jpg,7,0.8947
20,2,56,art,art_066.jpg,4,12.4404
21,1,37,art,art_066.jpg,6,1.4061
21,2,48,art,art_066.jpg,5,2.1161
22,1,62,art,art_066.jpg,4,1.605
22,2,73,art,art_066.jpg,5,0.5226
23,1,44,art,art_066.jpg,2,0.7464
23,2,3,art,art_066.jpg,4,0.8999
24,1,107,art,art_066.jpg,4,0.7446
24,2,66,art,art_066.jpg,2,0.568
1,1,12,art,art_010.jpg,3,1.0823
1,2,3,art,art_010.jpg,3,1.4637
2,1,82,art,art_010.jpg,4,1.4136
2,2,21,art,art_010.jpg,3,0.8967
3,1,8,art,art_010.jpg,3,0.7963
3,2,12,art,art_010.jpg,3,0.8121
4,1,98,art,art_010.jpg,6,0.7052
4,2,102,art,art_010.jpg,6,0.6394
5,1,56,art,art_010.jpg,5,0.6092
5,2,60,art,art_010.jpg,5,1.2248
6,1,50,art,art_010.jpg,4,0.5574
6,2,54,art,art_010.jpg,4,2.7848
7,1,55,art,art_010.jpg,1,0.8809
7,2,56,art,art_010.jpg,1,0.7728
8,1,54,art,art_010.jpg,4,0.8248
8,2,55,art,art_010.jpg,4,0.8916
9,1,109,art,art_010.jpg,5,0.7521
9,2,49,art,art_010.jpg,5,1.5063
10,1,61,art,art_010.jpg,5,0.7557
10,2,1,art,art_010.jpg,6,0.7514
11,1,81,art,art_010.jpg,6,0.9417
11,2,20,art,art_010.jpg,5,0.7681
12,1,90,art,art_010.jpg,3,0.7721
12,2,29,art,art_010.jpg,3,1.0119
13,1,27,art,art_010.jpg,5,0.8913
13,2,90,art,art_010.jpg,6,1.9154
14,1,20,art,art_010.jpg,7,0.7527
14,2,83,art,art_010.jpg,5,0.5015
15,1,66,art,art_010.jpg,3,0.7507
15,2,22,art,art_010.jpg,3,0.568
16,1,88,art,art_010.jpg,7,0.6646
16,2,44,art,art_010.jpg,7,0.6666
17,1,17,art,art_010.jpg,6,0.8437
17,2,23,art,art_010.jpg,7,0.8653
18,1,87,art,art_010.jpg,2,1.6336
18,2,93,art,art_010.jpg,3,1.2404
19,1,18,art,art_010.jpg,6,0.8037
19,2,9,art,art_010.jpg,6,0.7559
20,1,101,art,art_010.jpg,7,0.9554
20,2,92,art,art_010.jpg,7,0.8743
21,1,13,art,art_010.jpg,3,0.8085
21,2,37,art,art_010.jpg,2,1.1977
22,1,73,art,art_010.jpg,5,0.507
22,2,97,art,art_010.jpg,5,0.7297
23,1,43,art,art_010.jpg,5,0.7389
23,2,100,art,art_010.jpg,3,0.9627
24,1,10,art,art_010.jpg,5,0.6682
24,2,67,art,art_010.jpg,4,1.4925
1,1,13,art,art_008.jpg,4,1.4656
1,2,25,art,art_008.jpg,3,0.8
2,1,5,art,art_008.jpg,4,3.1873
2,2,26,art,art_008.jpg,3,0.7581
3,1,86,art,art_008.jpg,4,1.3067
3,2,21,art,art_008.jpg,3,1.0708
4,1,89,art,art_008.jpg,5,0.7302
4,2,24,art,art_008.jpg,4,1.4319
5,1,107,art,art_008.jpg,3,0.754
5,2,38,art,art_008.jpg,2,1.562
6,1,72,art,art_008.jpg,5,1.9558
6,2,3,art,art_008.jpg,5,0.6343
7,1,32,art,art_008.jpg,4,0.5041
7,2,66,art,art_008.jpg,4,0.6177
8,1,44,art,art_008.jpg,3,0.5948
8,2,78,art,art_008.jpg,2,0.8994
9,1,89,art,art_008.jpg,5,0.6407
9,2,15,art,art_008.jpg,5,1.076
10,1,95,art,art_008.jpg,4,0.7425
10,2,21,art,art_008.jpg,5,0.4959
11,1,35,art,art_008.jpg,3,1.1864
11,2,90,art,art_008.jpg,2,1.4699
12,1,20,art,art_008.jpg,5,0.6938
12,2,75,art,art_008.jpg,5,0.5948
13,1,26,art,art_008.jpg,3,1.2598
13,2,17,art,art_008.jpg,3,0.9285
14,1,93,art,art_008.jpg,2,1.2441
14,2,84,art,art_008.jpg,2,0.6286
15,1,99,art,art_008.jpg,5,0.9801
15,2,107,art,art_008.jpg,4,0.7869
16,1,3,art,art_008.jpg,5,1.2661
