"model","train_type","model_layer","model_layer_depth","score","model_string"
"vgg13_bn","random","BatchNorm2d-6",0.475,0.312483543639608,"vgg13_bn_random"
"efficientnetv2_rw_s","random","SwishMe-5",0.0476190476190476,0.311210366783681,"efficientnetv2_rw_s_random"
"visformer_small","random","Conv2d-35",0.602941176470588,0.310759522791212,"visformer_small_random"
"nf_resnet50","random","AdaptiveAvgPool2d-1",0.987654320987654,0.309844982232365,"nf_resnet50_random"
"resnext101_32x8d","random","AdaptiveAvgPool2d-1",0.996784565916399,0.306056876760696,"resnext101_32x8d_random"
"densenet201","random","Linear-1",1,0.304160677929051,"densenet201_random"
"mobilenetv3_large_100_miil_in21k","imagenet21k","Conv2d-17",0.259887005649718,0.302381944084303,"mobilenetv3_large_100_miil_in21k_imagenet21k"
"mobilenetv3_rw","random","HardSwishMe-1",0.0170454545454545,0.301319822866542,"mobilenetv3_rw_random"
"vit_base_patch16_224","random","GELU-8",0.640350877192982,0.301311777324988,"vit_base_patch16_224_random"
"levit_128","random","HardSwishMe-1",0.0280373831775701,0.297201675117508,"levit_128_random"
"googlenet","random","MaxPool2d-6",0.348717948717949,0.2959890273691,"googlenet_random"
"inpainting","taskonomy","ReLU-41",0.814814814814815,0.295199036546819,"inpainting_taskonomy"
"swin_tiny_patch4_window7_224","random","Linear-49",0.919191919191919,0.292213828023377,"swin_tiny_patch4_window7_224_random"
"vgg11_bn","random","Linear-1",0.882352941176471,0.292134346774184,"vgg11_bn_random"
"vgg19_bn","random","BatchNorm2d-2",0.0862068965517241,0.292130751037424,"vgg19_bn_random"
"inception_resnet_v2","random","ReLU-159",0.653846153846154,0.292048465361137,"inception_resnet_v2_random"
"vgg13","random","ReLU-12",0.966666666666667,0.29140004302435,"vgg13_random"
"mixer_b16_224","random","GELU-6",0.241935483870968,0.289961660055738,"mixer_b16_224_random"
"convit_base","random","Linear-65",0.920353982300885,0.289009283160415,"convit_base_random"
"pit_b_224","random","Linear-51",0.913385826771654,0.288563599280709,"pit_b_224_random"
"autoencoding","taskonomy","ReLU-11",0.228395061728395,0.288391751444407,"autoencoding_taskonomy"
"regnety_064","random","Sigmoid-7",0.288389513108614,0.28810385683422,"regnety_064_random"
"eca_nfnet_l0","random","SwishMe-1",0.0202020202020202,0.287616921931955,"eca_nfnet_l0_random"
